UIID,a,b,se,rating
A1L_7616_01#6789,1.0,-0.35,0.0,A1
A1L_20679_02#6790,1.0,-0.422,0.0,A1
A1L_5480_03#6791,1.0,-0.428,0.0,A1
A2L_5483_04#6792,1.0,-0.07,0.0,A2
A2L_24442_05#6793,1.0,-0.061,0.0,A2
A2L_7620_06#6794,1.0,-0.089,0.0,A2
A2L_7627_07#6795,1.0,-0.003,0.0,A2
B1L_20849_08#6796,1.0,0.248,0.0,B1
B1L_4287_09#6797,1.0,0.241,0.0,B1
B1L_21135_10#6798,1.0,0.4,0.0,B1
B2L_4295_11#6799,1.0,0.48,0.0,B2
B2L_7623_12#6800,1.0,0.51,0.0,B2
B2L_22202_13#6801,1.0,0.809,0.0,B2
C1L_7581_14#6802,1.0,1.175,0.0,C1
C2L_7587_15#6803,1.0,1.329,0.0,C2
C2L_21106_16#6804,1.0,1.472,0.0,C2
DL_T1D_21_0004_1#6902,1.0,0.0,0.0,B1+
DL_T1D_21_0004_2#6903,1.0,0.0,0.0,B1+
DL_T1D_21_0004_3#6904,1.0,0.0,0.0,B1+
DL_T1D_21_0004_4#6905,1.0,0.0,0.0,B1+
DL_T221_0003_1#5702,1.0,0.0,0.0,B1+
DL_T221_0003_2#5703,1.0,0.0,0.0,B1+
DL_T221_0003_3#5704,1.0,0.0,0.0,B1+
DL_T221_0003_4#5705,1.0,0.0,0.0,B1+
DL_T221_0003_5#5706,1.0,0.0,0.0,B1+
DL_T221_0003_6#5707,1.0,0.0,0.0,B1+
DL_T3P_21_0005_1#6657,1.0,0.0,0.0,B1+
DL_T3P_21_0005_2#6658,1.0,0.0,0.0,B1+
DL_T3P_21_0005_3#6659,1.0,0.0,0.0,B1+
DL_T3P_21_0005_4#6660,1.0,0.0,0.0,B1+
DL_T3P_21_0005_5(1)#6661,1.0,0.0,0.0,B1+
DL_T3P_21_0005_6#6662,1.0,0.0,0.0,B1+
DL_T3P_21_0005_7#6663,1.0,0.0,0.0,B1+
DL_T3P_21_0005_8#6664,1.0,0.0,0.0,B1+
DL_T3P_21_0006_1#6666,1.0,0.0,0.0,B1+
DL_T3P_21_0006_2#6667,1.0,0.0,0.0,B1+
DL_T3P_21_0006_3#6668,1.0,0.0,0.0,B1+
DL_T3P_21_0006_4#6669,1.0,0.0,0.0,B1+
DL_T3P_21_0006_5#6670,1.0,0.0,0.0,B1+
DL_T3P_21_0006_6#6671,1.0,0.0,0.0,B1+
DL_T3P_21_0006_7#6672,1.0,0.0,0.0,B1+
DL_T3P_21_0006_8#6673,1.0,0.0,0.0,B1+
DL_T4D_21_0007_1#5709,1.0,0.0,0.0,B1+
DL_T4D_21_0007_2#5710,1.0,0.0,0.0,B1+
DL_T4D_21_0007_3#5711,1.0,0.0,0.0,B1+
DL_T4D_21_0007_4#5712,1.0,0.0,0.0,B1+
DL_T4D_21_0007_5#5713,1.0,0.0,0.0,B1+
DL_T4D_21_0007_6#5714,1.0,0.0,0.0,B1+
DL_T4D_21_0007_7#5715,1.0,0.0,0.0,B1+
DL_T4D_21_0007_8#5716,1.0,0.0,0.0,B1+
A1R_4445_01#6698,1.0,-0.878,0.0,A1
A1R_7430_02#6699,1.0,-0.499,0.0,A1
A1R_7657_03#6700,1.0,-0.472,0.0,A1
A2R_7816_04#6701,1.0,-0.17,0.0,A2
A2R_4435_05#6702,1.0,-0.098,0.0,A2
A2R_4023_06#6703,1.0,-0.035,0.0,A2
B1R_4444_07#6704,1.0,0.142,0.0,B1
B1R_7813_08#6705,1.0,0.075,0.0,B1
B1R_8136_09#6706,1.0,0.382,0.0,B1
B2R_4439_10#6707,1.0,0.422,0.0,B2
DR_T1V_21_0010_1#6746,1.0,0.0,0.0,B1+
DR_T1V_21_0010_2#6747,1.0,0.0,0.0,B1+
DR_T1V_21_0010_3#6748,1.0,0.0,0.0,B1+
DR_T1V_21_0010_4#6749,1.0,0.0,0.0,B1+
DR_T1V_21_0011_1#6607,1.0,0.0,0.0,B1+
